time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
0,1750,1750,30000,30000,-0.00872664625997165,0.0349065850398866,0.0261799387799149,0,0,0,-0.00903207887907066,0.62,29081.8378837667
0.02,1750.54291820109,1750.064,29999.6934405274,29999.4857142857,-0.00878853201830835,0.0349648834482605,0.0261763514299522,-0.00035706429279574,-0.000699589905934481,-0.0619884452010823,-0.00920779793343247,0.61966475725924,29101.1243545191
0.04,1751.08552067592,1750.128,29999.384619271,29998.9714285714,-0.00885041931067852,0.0350162259255593,0.0261658066148808,-0.000693044765517186,-0.00223760184708556,-0.0865731362646019,-0.00937853395437502,0.619329735526856,29120.4166603415
0.06,1751.62780798605,1750.192,29999.0735338663,29998.4571428571,-0.00891235822421428,0.0350611992480691,0.0261488410238548,-0.000998290827451677,-0.0040183219488238,-0.0883655844267521,-0.00953850322563175,0.618994934409768,29139.7148373774
0.08,1752.16978066557,1750.256,29998.7601809401,29997.9428571429,-0.00897435971610373,0.0351004507516166,0.0261260910355128,-0.00127171178079747,-0.00569892195672302,-0.0780569914846419,-0.00968653512553419,0.618660353534101,29159.0189249996
0.1,1752.71143921504,1750.32,29998.4445571511,29997.4285714286,-0.00903641343914464,0.0351345767873126,0.026098163348168,-0.00151681801446636,-0.00711463883592004,-0.0628524476995391,-0.00982401346136048,0.61832599254947,29178.3289614025
0.12,1753.25278410268,1750.384,29998.1266597089,29996.9142857143,-0.00909849990599796,0.0351640716302686,0.0260655717242706,-0.00173903516596996,-0.0082157471596518,-0.0471676933359998,-0.00995345774998931,0.617991851128125,29197.6449815358
0.14,1753.79381576922,1750.448,29997.8064865501,29996.4,-0.00916059806026329,0.035189314819297,0.0260287167590337,-0.00194404450454758,-0.00901918359549522,-0.0333686986898924,-0.0100776296314998,0.617657928961544,29216.9670165407
0.16,1754.33453463404,1750.512,29997.4840363139,29995.8857142857,-0.00922268943076521,0.0352105802566109,0.0259878908258457,-0.00213688250318587,-0.00957433643741475,-0.0224337541276556,-0.0101990337476615,0.61732422575617,29236.2950940438
0.18,1754.87494110102,1750.576,29997.1593082145,29995.3714285714,-0.00928475994329896,0.0352280554350156,0.0259432954917167,-0.00232155795580411,-0.00994083475600888,-0.0144858235360308,-0.0103196917468089,0.616990741229283,29255.6292388595
