time,controller,velocity,velocity_ref,velocity_ref_modified,altitude,altitude_ref,altitude_ref_modified,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,alpha_cmd,throttle_cmd,throttle_actual,throttle_rate,qbar,heat_proxy,inlet_margin,inlet_margin_active,propulsion_limit_active,alpha_limit_margin
0.0,1.0,1690.0,1760.0,1625.0,29200.0,30000.0,30350.0,-0.013962634015954637,0.061086523819801536,0.0471238898038469,0.0,0.0,0.0,-0.11239920382843484,0.1832595714594046,0.47387999999999997,0.48,0.0,30309.174174793494,50630.003243345316,0.272,1.0,1.0,0.12217304763960307
0.04,1.0,1690.3142640378876,1760.0,1625.0,29199.05286047919,30000.0,30350.0,-0.014057962586065715,0.06116107884035339,0.04710311625428768,-0.0009440036540293055,-0.02788243588346503,-1.0677551258290843,-0.11282149510962237,0.1832595714594046,0.47356215132539253,0.47968215132539255,-0.007946216865185873,30324.43634196531,50661.5852947174,0.272,1.0,1.0,0.12209849261905122
0.08,1.0,1690.6282838131274,1760.0,1625.0,29198.098889844157,30000.0,30350.0,-0.01416012823994209,0.061232149235661344,0.04707202099571926,-0.00037953136115329304,-0.06991021106810166,-0.9181841584454496,-0.11246258475364351,0.1832595714594046,0.4732443026507851,0.4793643026507851,-0.007946216865185873,30339.724115220055,50693.18386500592,0.272,1.0,1.0,0.12202742222374327
0.12,1.0,1690.9420579322093,1760.0,1625.0,29197.137610410162,30000.0,30350.0,-0.01426859356556579,0.0613613277174153,0.047092734151849516,0.0015881596107743146,-0.09848759386635678,-0.4999350496663973,-0.11132054124502752,0.1832595714594046,0.47292645397617766,0.4790464539761777,-0.007946216865185873,30355.039495075154,50724.8005320148,0.272,1.0,1.0,0.1218982437419893
0.16,1.0,1691.2555761829196,1760.0,1625.0,29196.168689229136,30000.0,30350.0,-0.014380381368842073,0.06159015967118024,0.047209778302338176,0.004349034426393857,-0.11148344536147667,-0.17401658385355634,-0.10967436094344162,0.1832595714594046,0.47260860530157023,0.47872860530157024,-0.007946216865185873,30370.383558884772,50756.43557340423,0.272,1.0,1.0,0.12166941178822437
0.2,1.0,1691.5688226249758,1760.0,1625.0,29195.191989103478,30000.0,30350.0,-0.014492943641176885,0.06193715368772037,0.04744421004654349,0.007395969062260277,-0.11445016820316954,-0.0009519125104406612,-0.10777072043757414,0.1832595714594046,0.4722907566269628,0.4784107566269628,-0.007946216865185873,30385.75635454899,50788.08806182461,0.272,1.0,1.0,0.12132241777168423
0.24,1.0,1691.8817786890359,1760.0,1625.0,29194.207511089022,30000.0,30350.0,-0.01460476568409188,0.06240598811513449,0.047801222431042616,0.01044758589524253,-0.1128119070034559,0.06335331944791776,-0.10575255201120239,0.1832595714594046,0.47197290795235536,0.4780929079523554,-0.007946216865185873,30401.157252244393,50819.75634380782,0.272,1.0,1.0,0.12085358334427013
0.28,1.0,1692.1944250381046,1760.0,1625.0,29193.215330355524,30000.0,30350.0,-0.01471512307691347,0.06299349093319333,0.04827836785627987,0.013392224126094771,-0.10981725831985722,0.0736647965898727,-0.1036808375385451,0.1832595714594046,0.4716550592777479,0.47777505927774794,-0.007946216865185873,30416.585280665615,50851.4384320319,0.272,1.0,1.0,0.12026608052621128
0.32,1.0,1692.506742351043,1760.0,1625.0,29192.21555540363,30000.0,30350.0,-0.0148237071472454,0.0636944116447346,0.048870704497489224,0.01620595909440049,-0.10684917073334546,0.0659719852391613,-0.10157284830040812,0.1832595714594046,0.4713372106031405,0.4774572106031405,-0.007946216865185873,30432.03932673124,50883.1322191231,0.272,1.0,1.0,0.11956515981467
0.36,1.0,1692.8187114975422,1760.0,1625.0,29191.208309467143,30000.0,30350.0,-0.014930363207458802,0.06450345088523712,0.049573087677778335,0.018896029790991097,-0.10424543440647718,0.05699952065840336,-0.09942969543691871,0.1832595714594046,0.47101936192853305,0.47713936192853307,-0.007946216865185873,30447.51822015783,50914.83555883151,0.272,1.0,1.0,0.11875612057416748
0.4,1.0,1693.130313472611,1760.0,1625.0,29190.193725013072,30000.0,30350.0,-0.015034962640390104,0.06541575619839964,0.05038079355800955,0.02147344524814422,-0.10193205950939181,0.05168893760090314,-0.09725011851108956,0.1832595714594046,0.4707015132539256,0.47682151325392563,-0.007946216865185873,30463.0207542153,50946.54627944628,0.272,1.0,1.0,0.11784381526100497
0.44,1.0,1693.4415292878316,1760.0,1625.0,29189.17194371393,30000.0,30350.0,-0.015137361612359259,0.06642681477734272,0.05128945316498347,0.02394425765989735,-0.09975610836639437,0.04986438332252726,-0.09503512216435031,0.1832595714594046,0.4703836645793182,0.4765036645793182,-0.007946216865185873,30478.545681827418,50978.26217399163,0.272,1.0,1.0,0.11683275668206189
0.48,1.0,1693.7523398937044,1760.0,1625.0,29188.143117672484,30000.0,30350.0,-0.015237399490886674,0.06753223166582976,0.0522948321749431,0.0263093026447346,-0.09760628271165027,0.05004512791570264,-0.09278831523482686,0.1832595714594046,0.47006581590471075,0.47618581590471076,-0.007946216865185873,30494.091707480082,51009.9809887703,0.272,1.0,1.0,0.11572733979357484
0.52,1.0,1694.062726145104,1760.0,1625.0,29187.107410262204,30000.0,30350.0,-0.015334908661596156,0.06872757004435898,0.053392661382762836,0.02856631984608087,-0.09542885173822789,0.05098525670266638,-0.09051495498187993,0.1832595714594046,0.4697479672301033,0.47586796723010333,-0.007946216865185873,30509.6574822895,51041.70041713219,0.272,1.0,1.0,0.11453200141504563
0.56,1.0,1694.3726688001411,1760.0,1625.0,29186.064996288253,30000.0,30350.0,-0.015429723623768338,0.07000827660451783,0.05457855298074951,0.030711876943968576,-0.0932091716630721,0.051994541911177375,-0.08822101525563215,0.1832595714594046,0.4694301185554959,0.4755501185554959,-0.007946216865185873,30525.241603141356,51073.41809865499,0.272,1.0,1.0,0.11325129485488677
0.6,1.0,1694.6821485404364,1760.0,1625.0,29185.01606165181,30000.0,30350.0,-0.015521686381594514,0.07136966461413535,0.055847978232540854,0.0327424815866392,-0.09095126062544859,0.05280518096307686,-0.08591262387259532,0.1832595714594046,0.46911226988088844,0.47523226988088846,-0.007946216865185873,30540.84261470635,51105.13162202321,0.272,1.0,1.0,0.11188990684526925
0.64,1.0,1694.9911460046765,1760.0,1625.0,29183.96080275758,30000.0,30350.0,-0.015610648782188513,0.07280692453247734,0.057196275750288836,0.03465503617709748,-0.08866491637599329,0.053369219769206264,-0.08359581636068239,0.1832595714594046,0.468794421206281,0.474914421206281,-0.007946216865185873,30556.45901303045,51136.83853003141,0.272,1.0,1.0,0.11045264692692727
