time,phi,theta,psi,phi_ref,theta_ref,psi_ref,p,q,r,mx,my,mz,mx_cmd,my_cmd,mz_cmd,mx_rate,my_rate,mz_rate
0.0,0.017453292519943295,-0.013962634015954637,0.008726646259971648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1256.637061435903,1326.4502315156924,-785.3981633974394,0.0,0.0,0.0
0.02,0.017452749928773326,-0.01396223206296041,0.00872645208199474,0.0,0.0,0.0,-8.042756184611959e-05,5.877646362362258e-05,-2.9667455409063364e-05,-277.9573187648751,293.399392029594,-173.7233242280469,-1255.592650348603,1325.5010107950538,-784.8911743652772,-13897.865938243754,14669.969601479701,-8686.166211402344
0.04,0.017449191741485404,-0.01395959600987672,0.008725178610185402,0.0,0.0,0.0,-0.00029729651197888627,0.00021728075874842981,-0.00010967569440752795,-494.20185255756485,521.6914004772275,-308.9084004546901,-1252.625598987213,1322.7937691776992,-783.456425958962,-10812.226689634488,11414.600422381673,-6759.25381133216
0.06,0.017440218985485867,-0.013952948035257727,0.00872196681181947,0.0,0.0,0.0,-0.0006200557308430319,0.00045322216502584355,-0.00022878195839318545,-661.9586675637321,698.8883599602908,-413.87434554914086,-1247.9450703194445,1318.505119791571,-781.2021107502648,-8387.840750308362,8859.847974153166,-5248.297254722539
0.08,0.017423972943845012,-0.01394090972888591,0.00871615025432515,0.0,0.0,0.0,-0.0010246890042467577,0.0007490995882406674,-0.0003781664852764497,-791.5738240326469,835.9422624034402,-495.12409048864725,-1241.7174394037563,1312.7753806264247,-778.2137758822021,-6480.757823445742,6852.695122157467,-4062.48724697532
0.1,0.017399019822350148,-0.013922416487247314,0.00870721356894677,0.0,0.0,0.0,-0.0014922926409337766,0.0010911557580011199,-0.0005509034646770288,-891.1417233310417,941.4136503697546,-557.7410960957177,-1234.0757691975384,1305.7166520394806,-774.5593140380383,-4978.394964919738,5273.569398315721,-3130.850280353522
0.12,0.017364260512619634,-0.013896650602838706,0.008694759974133603,0.0,0.0,0.0,-0.0020079630683717538,0.0014685599392908573,-0.0007415476325892828,-966.9957871872541,1021.9943436101773,-605.6994226229986,-1225.1272185539667,1297.419128210661,-770.2928617343011,-3792.7031928106203,4029.034662021138,-2397.916326364043
0.14,0.017318859984492896,-0.013862988958875052,0.008678485885589726,0.0,0.0,0.0,-0.002559926865873336,0.0018727692536934604,-0.0009458112154490004,-1024.0922414885827,1082.9159390320617,-642.1060768795513,-1214.9588330600718,1287.9560276608606,-765.4578446481669,-2854.8227150664275,3046.079771094219,-1820.3327128276385
0.16,0.017262192030858436,-0.01382096213553239,0.0086581610680172,0.0,0.0,0.0,-0.003138860412481715,0.0022970295982841973,-0.0011603114707909477,-1066.3102912844247,1128.2690445734904,-669.3904278557148,-1203.642071065786,1277.3874441021844,-760.0893568534974,-2110.9024897921017,2267.655277071435,-1364.2175488081762
0.18,0.017193796019252083,-0.013770222432424558,0.008633613119446437,0.0,0.0,0.0,-0.003737357837105147,0.002735985667324208,-0.0013823733940820106,-1096.6869007770792,1161.2527530629916,-689.4522515061033,-1191.2363404223356,1265.7633532368059,-754.2160197478261,-1518.8304746327276,1649.1854244750584,-1003.091182519421
0.2,0.017113343033137607,-0.01371051885762664,0.008604715342289015,0.0,0.0,0.0,-0.004349514959842917,0.0031853762409719357,-0.0016098755363413949,-1117.600424292363,1184.369599683469,-703.777440477539,-1177.7917613878712,1253.1259597394765,-747.8614344563784,-1045.6761757641857,1155.8423310238709,-716.2594485717875
0.22,0.017020609355784533,-0.013641677559777687,0.008571377261411772,0.0,0.0,0.0,-0.004970603953260453,0.003641796111043544,-0.0018411295130444235,-1130.9142307885863,1199.5779156528886,-713.5284410988351,-1163.3513242007307,1239.5115284577212,-741.0453165618266,-665.6903248111689,760.4157984709786,-487.55003106480217
0.24,0.016915455695576398,-0.013563586512787015,0.008533537210891229,0.0,0.0,0.0,-0.005596818958162487,0.004102510083229266,-0.0020747858437841827,-1138.0890370950813,1208.4108876258324,-719.6149374781003,-1147.9525731044694,1224.951812424732,-733.7843825577716,-358.74031532474646,441.6485986471912,-304.32481896326067
