time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
0.0,1750.0,1750.0,30000.0,30000.0,-0.008726646259971648,0.03490658503988659,0.026179938779914945,0.0,0.0,0.0,-0.009539121081279514,0.6209639005707971,29081.837883766693
0.02,1750.5438012227255,1750.064,29999.693440746916,29999.485714285714,-0.008788515494441231,0.03496486843565079,0.02617635294120956,-0.00035681187945491916,-0.0007388634343543972,-0.06546834813229922,-0.010118795039192866,0.6194868265821585,29101.153712442356
0.04,1751.0862406676417,1750.128,29999.38461976585,29998.97142857143,-0.00885041351936736,0.035016240136796245,0.026165826617428892,-0.000691116959556509,-0.0023937408991018955,-0.09413787144115406,-0.010870655983003632,0.6180139820939856,29120.440605158085
0.06,1751.6273226065648,1750.192,29999.07353380193,29998.457142857143,-0.00891239749193126,0.03506133773927118,0.026148940247339922,-0.000991688124282807,-0.004385209374232165,-0.10097357230047922,-0.011656940163697784,0.616545380061029,29139.698688296317
0.08,1752.1670512930993,1750.256,29998.760178324374,29997.942857142858,-0.008974486620936613,0.03510089506938497,0.02612640844844836,-0.0012555759636786708,-0.006380259491145956,-0.09580974615959945,-0.012402611767466962,0.6150810228188723,29158.92809307005
0.1,1752.7054309449584,1750.32,29998.444548543503,29997.428571428572,-0.009036678757030448,0.03513563279699559,0.02609895403996514,-0.0014844167954560145,-0.008205314283705587,-0.08488759590102428,-0.013072306484503561,0.6136209058087528,29178.128950827926
0.12,1753.2424657367844,1750.384,29998.126639958427,29996.914285714287,-0.009098961023500688,0.03516620271804709,0.026067241694546398,-0.001682080640246241,-0.009786002751840554,-0.07199296004401654,-0.013654610092236416,0.6121650201829072,29197.301390594483
0.14,1753.7781597991382,1750.448,29997.80644860927,29996.4,-0.00916131634759707,0.035193165199323286,0.026031848851726214,-0.001853237509230563,-0.01110651365090819,-0.0592789709285924,-0.014151630857352647,0.6107133545782908,29216.445538005857
0.16,1754.3125172208088,1750.512,29997.483971152138,29995.885714285716,-0.00922372724545005,0.03521698599767277,0.025993258752222713,-0.0020025362797876298,-0.012182955229385596,-0.04784743168748418,-0.014572305926931204,0.6092658962874687,29235.561515071757
0.18,1754.845542052647,1750.576,29997.159204835054,29995.371428571427,-0.009286177822698881,0.03523804345839486,0.025951865635695973,-0.0021341794957922622,-0.013046503909803452,-0.03815000829696168,-0.014928279108689836,0.6078226320031311,29254.649440389563
0.2,1755.3772383118387,1750.64,29996.832147424808,29994.85714285714,-0.009348654659066017,0.03525664043668571,0.025907985777619682,-0.0022517441403649306,-0.013733227838496393,-0.03025797404016169,-0.015231503481741699,0.6063835482687612,29273.709429573508
0.22,1755.907609986011,1750.704,29996.502797115354,29994.342857142856,-0.009411147029398319,0.03527301755517749,0.025861870525779162,-0.0023581472375136386,-0.014278337960417968,-0.024038224772599356,-0.015492966325668992,0.6049486317325695,29292.74159575476
0.24,1756.4366610368716,1750.768,29996.17115243542,29993.82857142857,-0.009473646758930003,0.03528736590964084,0.02581371915071083,-0.002455690043264733,-0.014713281526086582,-0.019264000571087594,-0.015722117476758554,0.6035178692741145,29311.746050070993
0.26,1756.964395403266,1750.832,29995.837212164617,29993.314285714285,-0.009536147902020823,0.03529983829235015,0.02576369039032932,-0.0025461389745584286,-0.015064586485078005,-0.015681244456541576,-0.015926717127625837,0.6020912480520068,29330.72290210353
0.28,1757.4908170036485,1750.896,29995.500975262014,29992.8,-0.009598646359391992,0.035310558588239074,0.025711912228847077,-0.002630818047216448,-0.01535372456926311,-0.013045655743112892,-0.01611291596060518,0.6006687555055548,29349.67226024575
0.3,1758.0159297380187,1750.96,29995.16244080815,29992.285714285714,-0.009661139499458713,0.035319629336103685,0.025658489836644965,-0.0027106986146135403,-0.01559751660613103,-0.01114102422306197,-0.016285448482711688,0.5992503793319293,29368.59423200013
