time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
0.0,1750.0,1750.0,30000.0,30000.0,-0.008726646259971648,0.03490658503988659,0.026179938779914945,0.0,0.0,0.0,-0.3141592653589793,0.02735975036501365,29081.837883766693
0.02,1750.0000053515714,1750.064,29999.693291071733,29999.485714285714,-0.008799793486571384,0.034977054798954986,0.026177261312383602,-0.00026786925833905247,-0.017118189303560388,-1.3962634015954636,-0.3141592653589793,0.02741093060248382,29083.07692960145
0.04,1750.000068470539,1750.128,29999.383991984145,29998.97142857143,-0.00887504730720376,0.035048212814933505,0.026173165507729742,-5.5843119356878656e-05,-0.04504345733546966,-1.3962634015954636,-0.3141592653589793,0.027461648281834377,29084.328411290375
0.06,1750.000189169164,1750.192,29999.072019505125,29998.457142857143,-0.008952562369366328,0.03513102442354126,0.02617846205417493,0.0006713441511806687,-0.07296872536737893,-1.3962634015954636,-0.3141592653589793,0.027512297360956364,29085.5926604235
0.08,1750.0003672094022,1750.256,29998.757294679424,29997.942857142858,-0.009032326318906034,0.035235778838431375,0.02620345251952534,0.0019135094406288059,-0.1008939933992882,-1.3962634015954636,-0.3141592653589793,0.027563285683981045,29086.869989714316
0.1,1750.0006023502744,1750.32,29998.439739118465,29997.428571428572,-0.009114319124718029,0.03537275287668207,0.026258433751964037,0.0036703639230003813,-0.12881926143119748,-1.3962634015954636,-0.3141592653589793,0.02761502839669535,29088.16070956128
0.12,1750.0008943465884,1750.384,29998.119275268895,29996.914285714287,-0.00919851308616498,0.035552208853440015,0.026353695767275028,0.00594151321155245,-0.15674452946310674,-1.3962634015954636,-0.3141592653589793,0.0276679509465856,29089.465126921124
0.14,1750.0012429471265,1750.448,29997.795826680853,29996.4,-0.009284872841878634,0.0357843924812069,0.026499519639328256,0.008726457532261327,-0.184669797495016,-1.3962634015954636,-0.3141592653589793,0.027722493246806198,29090.783544165337
0.16,1750.001647892306,1750.512,29997.469318275904,29995.885714285716,-0.009373355379868074,0.03607953077410947,0.026706175394241385,0.012024591917997611,-0.21259506552692525,-1.3962634015954636,-0.3141592653589793,0.027779114997419776,29092.1162579202
0.18,1750.0021089113172,1750.576,29997.1396766146,29995.371428571427,-0.009463899859131953,0.03644781976776246,0.026983919908630496,0.01583294070575561,-0.24011090139589525,-1.327142657898061,-0.3141592653589793,0.027838303926439437,29093.463557890496
0.2,1750.002625713839,1750.64,29996.80683217114,29994.85714285714,-0.009556322367596796,0.036899062011059566,0.02734273964346276,0.020122735740729276,-0.2646653461704536,-1.1115266202870782,-0.3141592653589793,0.02790059117450541,29094.825717392232
0.22,1750.0031979910777,1750.704,29996.47072590262,29994.342857142856,-0.009650215094557263,0.037441761447332286,0.027791546352775014,0.024816869881314364,-0.28426045312122233,-0.8449864122982513,-0.28462253990284886,0.027966543001758343,29096.20296683746
0.24,1750.0038254344431,1750.768,29996.131315772534,29993.82857142857,-0.009745006024874185,0.03808238072976421,0.02833737470489002,0.02980291753261674,-0.2962704457223467,-0.38661784224355444,-0.22772992399926154,0.02803672156384348,29097.595467982756
0.26,1750.004507743281,1750.832,29995.78858468626,29993.314285714285,-0.009839818043860648,0.038824212263172286,0.02898439421931163,0.034901412420634284,-0.29644382097820676,0.2946460029352912,-0.16782346888778726,0.02811166705120559,29099.0032820995
0.28,1750.0052446532447,1750.896,29995.442552039087,29992.8,-0.009933463000629509,0.03966591522695872,0.029732452226329205,0.039863923912191644,-0.2823032917655417,1.0166865744212361,-0.10709769383856237,0.02819182686998748,29100.426324219738
0.3,1750.0060359827532,1750.96,29995.093280791734,29992.285714285714,-0.010024762699022277,0.040600933756982004,0.030576171057959723,0.04444365108653712,-0.2556297937835714,1.3962634015954636,-0.04770999891785867,0.028277440058876918,29101.86433604685
0.32,1750.006881678375,1751.024,29994.740866687695,29991.77142857143,-0.010112938241256883,0.041619236992205856,0.031506298750948965,0.048481274692958,-0.22770452575166217,1.3962634015954636,0.00916858557751483,0.028368502896414922,29103.31693100608
0.34,1750.0077817855188,1751.088,29994.38542073043,29991.257142857143,-0.010198000471178298,0.04270990611173961,0.032511905640561306,0.05199144664394316,-0.1997792577197529,1.3962634015954636,0.06343771392036683,0.02846478011915203,29104.78366406903
0.36,1750.0087363627792,1751.152,29994.027052777907,29990.742857142857,-0.010279898774567605,0.04386233438509177,0.03358243561052415,0.05497347678778559,-0.17185398968784366,1.3962634015954636,0.11483117312592929,0.028566031247751197,29106.264095207403
0.38,1750.0097454873626,1751.216,29993.665874320945,29990.22857142857,-0.010358590435507985,0.045065910267257876,0.034707319831749885,0.05742678400975791,-0.1439287216559344,1.3962634015954636,0.1630831598476047,0.02867197381364839,29107.757778340412
0.4,1750.0108092581888,1751.28,29993.301998206665,29989.714285714286,-0.010434040643683553,0.046310019587591914,0.03587597894390835,0.05935089631182773,-0.11600345362402513,1.3962634015954636,0.2079283311243824,0.028782276726261838,29109.26426255258
0.42,1750.0119277984174,1751.344,29992.935538361726,29989.2,-0.010506222500714361,0.047584047739092916,0.03707782523837854,0.06074545087082906,-0.08807818559211586,1.3962634015954636,0.24910185487635356,0.028896554894123756,29110.78309329336
0.44,1750.0131012573925,1751.408,29992.566609515332,29988.685714285715,-0.010575117025499795,0.048877381867646605,0.0383022648421468,0.061610194074917406,-0.06015291756020659,1.3962634015954636,0.2863394601335089,0.029014365104858306,29112.313813559118
0.46,1750.014329812008,1751.472,29992.195326922098,29988.17142857143,-0.010640713158529666,0.05017941306074526,0.039538699902215584,0.06194498153814228,-0.03222764952829732,1.3962634015954636,0.3141592653589793,0.029135203168092906,29113.85596505658
0.48,1750.0156136674923,1751.536,29991.82180608476,29987.657142857144,-0.010703007765107287,0.05147953853519082,0.04077653077008352,0.061749778092977485,-0.00430238149638805,1.3962634015954636,0.3141592653589793,0.029258502324541295,29115.409089348028
0.5,1750.0169530576102,1751.6,29991.446162476816,29987.14285714286,-0.010762005637412371,0.052767163823266745,0.04200515818585437,0.06102465776065669,0.02362288653552122,1.3962634015954636,0.3141592653589793,0.029383632923592255,29116.97272897798
0.52,1750.018348244286,1751.664,29991.06851126509,29986.628571428573,-0.010817719495314316,0.05403170495684381,0.04321398546152949,0.05976980369916937,0.05154815456743049,1.3962634015954636,0.3141592653589793,0.029509903370752044,29118.546428581187
0.54,1750.0197995166473,1751.728,29990.68896703231,29986.114285714284,-0.01087016998582888,0.055262590648864664,0.04439242066303578,0.05798550812878033,0.07947342259933976,1.3962634015954636,0.3141592653589793,0.02963656234519375,29120.129735971754
0.56,1750.0213071894907,1751.792,29990.307643499735,29985.6,-0.010919385681094126,0.056449264471632184,0.04552987879053805,0.05567217223494473,0.10739869063124903,1.3962634015954636,0.3141592653589793,0.029762802286453803,29121.722203213474
0.58,1750.0228716011727,1751.856,29989.92465324986,29985.085714285713,-0.010965403074725254,0.057581187031308004,0.046615783956582744,0.052830306048499344,0.1353239586631583,1.3962634015954636,0.3141592653589793,0.029887764147924004,29123.3233876708
0.6,1750.0244931109296,1751.92,29989.540107449295,29984.571428571428,-0.01100826657639333,0.05864783813801061,0.04763957156161728,0.04946052830302056,0.16324922669506758,1.3962634015954636,0.3141592653589793,0.030010543413217766,29124.932853040827
0.62,1750.0261720956273,1751.984,29989.154115571877,29984.057142857142,-0.011048028504460428,0.059638718970887794,0.04859069046642737,0.04556356626924935,0.19117449472697684,1.3962634015954636,0.3141592653589793,0.030130197369732232,29126.550170365754
0.64,1750.0279089459495,1752.048,29988.76678512204,29983.542857142857,-0.011084749076493932,0.06054335423752673,0.049458605161032794,0.04114025556649395,0.2190997627588861,1.3960370916147795,0.3141592653589793,0.030245753631726987,29128.174919025838
0.66,1750.0297040620421,1752.112,29988.378221353465,29983.02857142857,-0.011118515610506377,0.06135131419200402,0.05023279858149764,0.03619581212750093,0.24625857537437446,1.2870486305230957,0.3141592653589793,0.03035621714098268,29129.806687734006
0.68,1750.031557850767,1752.176,29987.98852369961,29982.514285714286,-0.011149581985584835,0.06205277493033855,0.050903192944753706,0.0307708770134768,0.26976830991433426,1.0511074190663388,0.3141592653589793,0.030460589900099058,29131.445088888166
0.7000000000000001,1750.0334706942922,1752.24,29987.5977789587,29982.0,-0.011178411029776314,0.06263939595275667,0.051460984922980346,0.024951106763274347,0.288111413932089,0.7824973350591184,0.29588376339715916,0.03055793707000404,29133.089785106567
0.72,1750.0354429146396,1752.304,29987.206055787978,29981.485714285714,-0.011205572316153135,0.06310489124274798,0.051899318926594835,0.018844719276699996,0.29980927879624936,0.4090678517405204,0.2549731028354772,0.030647465267168217,29134.740510339696
0.74,1750.0374747524804,1752.368,29986.813400029783,29980.97142857143,-0.0112318169133428,0.06344567788067301,0.052213860967330196,0.012599480761850402,0.30213704320038864,-0.12175387149388006,0.21012230500147439,0.03072856754632978,29136.39708809782
0.76,1750.0395663351005,1752.432,29986.419827313108,29980.457142857143,-0.011258111224281131,0.06366183850951272,0.05240372728523157,0.0064107263115549444,0.2932834617901912,-0.6868598615957447,0.16302429158379456,0.030800896567339517,29138.059460350512
0.78,1750.0417176401127,1752.496,29986.025317902226,29979.942857142858,-0.011285481150534668,0.063757619892608,0.05247213874207332,0.00048732647320992757,0.2734543852439073,-1.206235349522753,0.11551569226286351,0.030864440573697503,29139.72770720026
0.8,1750.0439284838912,1752.56,29985.629817213616,29979.428571428572,-0.011314822063954639,0.06374118979678653,0.05242636773283187,-0.0049899210669580845,0.2449522293801576,-1.3962634015954636,0.06922080068754158,0.030919546410938956,29141.40204444474
0.8200000000000001,1750.0461985309237,1752.624,29985.23324697647,29978.914285714287,-0.011346637086498136,0.0636229818369052,0.052276344750407044,-0.009925967254641406,0.21702696134824834,-1.3962634015954636,0.024854716224684624,0.030966850070155386,29143.082778753753
