time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
0.0,1750.0,1750.0,30000.0,30000.0,-0.008726646259971648,0.03490658503988659,0.026179938779914945,0.0,0.0,0.0,-0.15691067560470065,0.02735975036501365,29081.837883766693
0.02,1750.0000053346373,1750.064,29999.69329476062,29999.485714285714,-0.008799723700221562,0.034976516289026635,0.026176792588805075,-0.0002834003895871465,-0.012153694211061107,-1.0769003400452595,-0.15799199779030176,0.027410924696890944,29083.076914138008
0.04,1750.000068434043,1750.128,29999.38400671883,29998.97142857143,-0.008874397690016774,0.03504568921535457,0.0261712915253378,-0.00020050289541935425,-0.03790420322761251,-1.3813238025736845,-0.15696972526431802,0.027461689431606314,29084.328350556672
0.06,1750.0001891547859,1750.192,29999.072066867313,29998.457142857143,-0.008951343930707229,0.03512377604253126,0.02617243211182403,0.000399496953937363,-0.06665198036186346,-1.3962634015954636,-0.15326392210423076,0.027512276172921186,29085.592468618142
0.08,1750.0003672639207,1750.256,29998.757393949745,29997.942857142858,-0.009030552909268203,0.03522134702503827,0.02619079411577007,0.0015166462237936988,-0.09315968666330157,-1.2291746968907455,-0.14693063981653795,0.027563102029213787,29086.86959049009
0.1,1750.000602505721,1750.32,29998.43991379923,29997.428571428572,-0.00911169474420326,0.035347810505672324,0.026236115761469066,0.003081332304896137,-0.1147543313435957,-0.9278233955979627,-0.138325973745015,0.027614612865441954,29088.160009014715
0.12,1750.0008946355997,1750.384,29998.11956733944,29996.914285714287,-0.009194253420465835,0.03551055975212122,0.026316306331655385,0.004983883214523025,-0.1297366786683299,-0.5835662171774596,-0.12799600847146209,0.027667222773556824,29089.46395650491
0.14,1750.0012434394675,1750.448,29997.79631531987,29996.4,-0.00927763279874491,0.035714500427021525,0.026436867628276624,0.007097786087828697,-0.13787684927813848,-0.25334409233547345,-0.11655265764010278,0.02772127380017492,29090.781586243524
0.16,1750.0016487453984,1750.512,29997.470139261877,29995.885714285716,-0.009361254579941712,0.03596204392961666,0.026600789349674962,0.009301078109983948,-0.13981759089943857,0.031180153934282973,-0.1045793588942964,0.02777701445334207,29092.112969031397
0.18,1750.0021104258149,1750.576,29997.141039759244,29995.371428571427,-0.009444613781113354,0.03625338670018276,0.026808772919069416,0.011488311529594127,-0.13664603766495537,0.25601958127768143,-0.09257888772228634,0.02783459728883928,29093.458100108743
0.2,1750.0026283941495,1750.64,29996.809033393834,29994.85714285714,-0.009527304257682665,0.03658692864789318,0.027059624390210528,0.01357591317658437,-0.12960239701327803,0.4188262307656171,-0.08095059757989567,0.027894087437224758,29094.816911490583
0.22,1750.003202598695,1750.704,29996.474149132184,29994.342857142856,-0.009609024300158009,0.03695973197573001,0.027350707675572017,0.01550318233462206,-0.11989504125197882,0.5243036155842914,-0.0699870118369974,0.027955476531948874,29096.18928630908
0.24,1750.0038330154084,1750.768,29996.136424759745,29993.82857142857,-0.009689569981313931,0.03736795875258569,0.02767838877127177,0.01723063522041158,-0.10859470853472078,0.5808755656189362,-0.05988211568436422,0.028018698465175983,29097.57507297266
0.26,1750.0045196407543,1750.832,29995.795903677732,29993.314285714285,-0.0097688218705971,0.03780725290928185,0.028038431038684766,0.018736938942791583,-0.09658477681988827,0.5983888541324207,-0.05074579495408179,0.028083644802204048,29098.97409786485
0.28,1750.005262485197,1750.896,29995.452632221928,29992.8,-0.009846729024271831,0.038273051512757825,0.028426322488486006,0.02001529410902145,-0.0845490846522152,0.5866284339126565,-0.042620595011676234,0.02815017864550455,29100.386175958287
0.3,1750.006061567644,1750.96,29995.106657550634,29992.285714285714,-0.009923292807025932,0.0387608228529115,0.028837530045885577,0.021069823071168347,-0.07298304739927727,0.5544438537921117,-0.03549832917321603,0.02821814637335332,29101.81111916317
0.32,1750.006916910945,1751.024,29994.758026078336,29991.77142857143,-0.009998552075729231,0.03926623660044929,0.029267684524720068,0.02191229310764411,-0.06221758634557839,0.5093144319464082,-0.02933508572406301,0.028287387083159903,29103.248742507247
0.34,1750.007828538418,1751.088,29994.406782391812,29991.257142857143,-0.010072570514222336,0.03978527540468399,0.029712704890461666,0.02255934003642126,-0.05244853258009798,0.45721281613936415,-0.024063914192275836,0.028357739818195393,29104.698868401676
0.36,1750.0087964713143,1751.152,29994.052968567277,29990.742857142857,-0.010145426398604605,0.0403142989076557,0.030168872509051103,0.023030246081441268,-0.04376667072418078,0.40265769326251777,-0.019604968709503845,0.02842904879897524,29106.16132931815
0.38,1750.0098207270887,1751.216,29993.696623803637,29990.22857142857,-0.010217204745291857,0.04085007113146286,0.030632866386171013,0.02334525477776352,-0.03618549383021684,0.3488743302706526,-0.0158732011381999,0.02850116695155493,29107.635969215866
0.4,1750.0109013183285,1751.28,29993.337784292176,29989.714285714286,-0.010287991603586528,0.04138976121097598,0.031101769607389456,0.023524364975526797,-0.02966512789511835,0.29800524326273337,-0.012783875819865783,0.028573958047995902,29109.122644034986
